id,Number,sentiment,text
27,5611,1,"deconvolution initialisation. please use caffe users list (https groups.google.com forum !forum caffe users ) usage, installation, modeling questions, requests help. do post requests issues. doing interferes development caffe. please read guidelines contributing (https github.com bvlc caffe blob master contributing.md ) submitting issue. issue summary hi, i trying fine tuning fcn32s network. however, i ve inspected accuracies(overall accuracies, mean accuracies mean ius fluctuate certain range values happy increase all ) . in paper, described final layer deconvolutional filters fixed bilinear interpolation , intermediate upsampling layers intialised bilinear upsampling, learned , train.prototxt learning rate set 0 one deconvolution layer. i little bit confused here... it would greatly appreciated someone provide insight issue. hanyi shelhamer steps reproduce if difficulty building caffe training model, please ask caffe users mailing list. if reporting build error seems due bug caffe, please attach build configuration (either makefile.config cmakecache.txt ) output make (or cmake ) command. your system configuration operating system compiler cuda version (if applicable ) cudnn version (if applicable ) blas python matlab version (for pycaffe matcaffe respectively )"
166,938,0,"boost python problem import caffe. hello, thanks great library. i trying run filter visualization.py however importing caffe module raising problems. boost built, pycaffe compiled properly examples running smoothly. however, i getting following error related boostpython importerror .. python caffe caffe.so undefined symbol zn5boost6python6detail12gcc demangleepkc thanks nate"
65,3453,0,"any official plans sync cudnn v4 ? . seems like cudnn v4 rc https developer.nvidia.com cudnn and added wonderful new features, 2d tiled fft conv, bn. i think fft conv great new feature. so i wonder plans core dev team ? if not, may make contributions."
172,3803,0,"make no rule make target `matcaffe. stop.. hi, i succeed compiling caffe matlab i get error i try call function caffe api inside matlab. i guess everything okay since caffe .mexa64 generated. this cmake output boost version 1.55.0 found following boost libraries system thread filesystem found gflags (include usr include, library usr lib x86 64 linux gnu libgflags.so ) found glog (include usr include, library usr lib x86 64 linux gnu libglog.so ) found protobuf compiler usr bin protoc found lmdb (include usr include, library usr lib x86 64 linux gnu liblmdb.so ) found leveldb (include usr include, library usr lib x86 64 linux gnu libleveldb.so ) found snappy (include usr include, library usr lib libsnappy.so ) cuda detected 7.5 found cudnn ver. 4.0.7 found (include usr local include, library usr local lib libcudnn.so ) added cuda nvcc flags for sm 52 sm 50 cuda boost 1.55 applying noinline work around opencv found ( usr local share opencv ) found atlas (include usr include, library usr lib libatlas.so ) numpy ver. 1.8.2 found (include usr lib python2.7 dist packages numpy core include ) boost version 1.55.0 found following boost libraries python could not find doxygen (missing doxygen executable ) caffe configuration summary general version 1.0.0 rc3 git rc2 878 gbe163be dirty system linux c compiler usr bin c release cxx flags o3 dndebug fpic wall wno sign compare wno uninitialized debug cxx flags g fpic wall wno sign compare wno uninitialized build type release build shared libs on build python on build matlab on build docs on cpu only off use opencv on use leveldb on use lmdb on allow lmdb nolock off dependencies blas yes (atlas ) boost yes (ver. 1.55 ) glog yes gflags yes protobuf yes (ver. 2.5.0 ) lmdb yes (ver. 0.9.10 ) leveldb yes (ver. 1.15 ) snappy yes (ver. 1.1.0 ) opencv yes (ver. 3.1.0 ) cuda yes (ver. 7.5 ) nvidia cuda target gpu(s ) auto gpu arch(s ) sm 52 sm 50 cudnn yes (ver. 4.0.7 ) python interpreter usr bin python2.7 (ver. 2.7.6 ) libraries usr lib x86 64 linux gnu libpython2.7.so (ver 2.7.6 ) numpy usr lib python2.7 dist packages numpy core include (ver 1.8.2 ) matlab matlab yes ( usr local matlab r2014b bin mex, usr local matlab r2014b bin mexext octave no documentaion doxygen no config file install install path home eriba software caffe build install configuring done generating done build files written to home eriba software caffe build"
157,3092,0,caffe makefile command line tools version 7. on macos 10.10.3 i change 6 7 since pkgutil pkg info com.apple.pkg.cltools executables giving package id com.apple.pkg.cltools executables version 7.0.0.0.1.1441394355 volume location install time 1442705061 groups com.apple.findsystemfiles.pkg group com.apple.devtoolsboth.pkg group com.apple.devtoolsnonrelocatableshared.pkg group
130,4309,0,examples new lstm layers ? . examples new lstm layer ?
8,6061,1,"low speed train network, i time test.. it seems speed bottleneck data... why training slow ? there s two gtx1080 i use. here s network"
218,1983,0,"memorydatalayer performs transformations inconsistently. memorydatalayer top 0 reshape(batch size , channels , height , width ) top 1 reshape(batch size , 1, 1, 1 ) added data .reshape(batch size , channels , height , width ) added label .reshape(batch size , 1, 1, 1 ) imagedatalayer (crop size 0 ) top 0 reshape(batch size, channels, crop size, crop size ) this prefetch data .reshape(batch size, channels, crop size, crop size ) this transformed data .reshape(1, channels, crop size, crop size ) else top 0 reshape(batch size, channels, height, width ) this prefetch data .reshape(batch size, channels, height, width ) this transformed data .reshape(1, channels, height, width ) when crop used memorydatalayer result wrong"
62,4869,0,"importerror implementing python layer caffe. im trying incorporate custom python data layer network . i built added caffe python modules custom python data layer module . however, i try run it, gives following error i1020 16 13 35.672911 24362 layer factory.hpp 74 importerror import filename supported. terminate called throwing instance boost python error already set aborted 1476960215 (unix time ) try date d 1476960215 using gnu date pc 0x7fea94390c37 (unknown ) sigabrt ( 0x3e800005f2a ) received pid 24362 (tid 0x7fea95db7a40 ) pid 24362 stack trace 0x7fea94390cb0 (unknown ) 0x7fea94390c37 (unknown ) 0x7fea94394028 (unknown ) 0x7fea94995535 (unknown ) 0x7fea949936d6 (unknown ) 0x7fea94993703 (unknown ) 0x7fea94993976 (unknown ) 0x7fea955ffe22 caffe getpythonlayer( ) 0x7fea95616326 caffe layerregistry createlayer( ) 0x7fea9561b4cc caffe net init( ) 0x7fea9561d262 caffe net net( ) 0x7fea955f9139 caffe solver inittrainnet( ) 0x7fea955fa2f3 caffe solver init( ) 0x7fea955fa4c6 caffe solver solver( ) 0x40d030 caffe getsolver( ) 0x407143 train( ) 0x4056e1 main 0x7fea9437bf45 (unknown ) 0x405c8d (unknown ) 0x0 (unknown ) aborted (core dumped ) any idea im running problem ? thanks advance."
267,2564,0,osx abs defined absval layer. when compiling osx yosemite absval layer raises warning stating warning absolute value function abs given argument type long long parameter type int may cause truncation value i resolved putting following code directly namespace caffe
45,6402,0,"pycaffe error module object attribute layer. i changed with python layer 1 ,make pycaffe, abd add python path etc profile i import caffe successfully. but i add new python layer like this occured error follows i really confused this, i found solution solve internet. could please tell deal it ? thanks advance!"
242,3486,0,"problem caffe running multi gpus (8 titan x ) . hi everyone! i trying run imagenet caffe multi gpu today 8 titan x centos. i also set gpu all, hoping 8 gpus would run parallel. but, turned four gpus could work task. does caffe support 8 gpus framework ? or i implement things order make work ? i attached two log file pictures help better understand problem. anyone s kind advice appreciated eagerly needed. thanks."
173,3141,0,make errors. ubuntu 12.04 caffe cudnn v2 i run sudo make j8 caffe got error logs like this
246,6510,0,"makefile 591 recipe target .build release src caffe layers cudnn relu layer.o failed. important read submitting please read guidelines contributing (https github.com bvlc caffe blob master contributing.md ) submitting issue! please post installation, build, usage, modeling questions, requests help issues. use caffe users list (https groups.google.com forum !forum caffe users ) instead. this helps developers maintain clear, uncluttered, efficient view state caffe. issue summary steps reproduce tried solutions system configuration operating system ubuntu16.04 compiler cuda version (if applicable ) 8.0 cudnn version (if applicable ) 7.1 blas python version (if using pycaffe ) 3.6 matlab version (if using matcaffe ) issue checklist read guidelines removed first paragraph written short summary detailed steps reproduce explained solutions related problems failed (tick found none ) filled system configuration attached relevant logs config files (tick applicable ) cxx .build release src caffe proto caffe.pb.cc cxx src caffe syncedmem.cpp cxx src caffe common.cpp cxx src caffe layers spp layer.cpp cxx src caffe layers cudnn deconv layer.cpp cxx src caffe layers cudnn tanh layer.cpp cxx src caffe layers cudnn lrn layer.cpp cxx src caffe layers cudnn relu layer.cpp in file included . include caffe util math functions.hpp 11 0, . include caffe layer.hpp 12, src caffe layers spp layer.cpp 4 . include caffe util mkl alternate.hpp 14 19 fatal error cblas.h no file directory compilation terminated. in file included . include caffe util math functions.hpp 11 0, . include caffe layer.hpp 12, . include caffe layers cudnn deconv layer.hpp 7, src caffe layers cudnn deconv layer.cpp 5 . include caffe util mkl alternate.hpp 14 19 fatal error cblas.h no file directory compilation terminated. makefile 591 recipe target .build release src caffe layers spp layer.o failed make .build release src caffe layers spp layer.o error 1 make waiting unfinished jobs.... makefile 591 recipe target .build release src caffe layers cudnn deconv layer.o failed make .build release src caffe layers cudnn deconv layer.o error 1 in file included . include caffe util math functions.hpp 11 0, . include caffe layer.hpp 12, . include caffe layers cudnn lrn layer.hpp 7, src caffe layers cudnn lrn layer.cpp 4 . include caffe util mkl alternate.hpp 14 19 fatal error cblas.h no file directory compilation terminated. in file included . include caffe util math functions.hpp 11 0, src caffe syncedmem.cpp 3 . include caffe util mkl alternate.hpp 14 19 fatal error cblas.h no file directory compilation terminated. in file included . include caffe util math functions.hpp 11 0, . include caffe layer.hpp 12, . include caffe layers cudnn tanh layer.hpp 7, src caffe layers cudnn tanh layer.cpp 4 . include caffe util mkl alternate.hpp 14 19 fatal error cblas.h no file directory compilation terminated. makefile 591 recipe target .build release src caffe layers cudnn lrn layer.o failed make .build release src caffe layers cudnn lrn layer.o error 1 makefile 591 recipe target .build release src caffe syncedmem.o failed make .build release src caffe syncedmem.o error 1 makefile 591 recipe target .build release src caffe layers cudnn tanh layer.o failed make .build release src caffe layers cudnn tanh layer.o error 1 in file included . include caffe util math functions.hpp 11 0, . include caffe layer.hpp 12, . include caffe layers cudnn relu layer.hpp 7, src caffe layers cudnn relu layer.cpp 4 . include caffe util mkl alternate.hpp 14 19 fatal error cblas.h no file directory compilation terminated. makefile 591 recipe target .build release src caffe layers cudnn relu layer.o failed make .build release src caffe layers cudnn relu layer.o error 1"
187,3546,0,caffe crashes hdf5 data used multi gpu system.. sorry false issue.
26,4072,1,"fine tunning googlenet model. i fine tunning results promising. i getting accuracy 50 1000 iterations. my training dataset 3k images validation 1k images evaluation 1k images. i set base lr 0.001 max itr 10000. is accuracy normal i something wrong ? i also share changes i files, needed."
154,1908,0,"can i use image data input training googlenet ? . hi all, i want train googlenet (https github.com bvlc caffe tree master models bvlc googlenet ) using image data input data type (giving path training validation txt file ) . i failed train i encountered following problem loss becomes nan 80th iteration. here data layer then i turned leveldb, everything ok. did i make mistakes ?"
192,2661,0,"specify per layer cpu gpu. is way specify specific layer run cpu rather gpu, still let layers run gpu ? im trying run softmaxwithlosslayer cpu since getting issues running gpu. it would nice feature exist already."
243,2190,0,"python deploy prototxt problem. hi, all i trying use python build model existing prototxt caffemodel file. however, i found i could successfully build one even deploy file model offered github unless i delete weigth filler bias filler content. i run code python command shows segmentation fault (core dumped ) can anyone figure what s wrong ?"
210,5783,0,"error make runtest layerfactorytest. 8 tests slicelayertest 2 (465 ms total ) global test environment tear down 2101 tests 277 test cases ran. (279573 ms total ) passed 2097 tests. failed 4 tests, listed below failed layerfactorytest 0.testcreatelayer, typeparam caffe cpudevice failed layerfactorytest 1.testcreatelayer, typeparam caffe cpudevice failed layerfactorytest 2.testcreatelayer, typeparam caffe gpudevice failed layerfactorytest 3.testcreatelayer, typeparam caffe gpudevice 4 failed tests makefile 534 recipe target runtest failed make runtest error 1"
97,5944,0,make runtest segmentation fault centos . please look https pastebin.com vcnr36dh make runtest fails following error please suggest fixes.
183,1143,0,"am i right ? i use cudnn..... i recruit, i sorry foolish question. when i use cudnn caffe master, i get result without cudnn. my pc i7 4770k gtx 770, cuda 6.5 the running time mnist 150s, cifar10 full 62s 1000 iteration. i set use cudnn 1 , copy cudnn.h usr local include , copy libcudnn.so, libcudnn.so.6.5, libcudnn.so.6.5.18, libcudnn static.a usr local lib . am i right ? it seems work. help me, thank you!"
